"","Source","Target","Weight"
"59","834"," 201.9","0.33333333"
"68","843"," 201.9","0.33333333"
"90","865"," 201.9","0.33333333"
"143","817"," 202.8","1.00000000"
"222","52-2"," 205.7","1.00000000"
"338","67-2"," 207.9","1.00000000"
"439","67-2"," 209.9","1.00000000"
"540","67-2"," 210.9","1.00000000"
"609","33-2"," 213.9","0.33333333"
"611","36-2"," 213.9","0.33333333"
"621","47-2"," 213.9","0.33333333"
"727","52-2"," 221.7","0.06666667"
"749","817"," 221.7","0.06666667"
"750","818"," 221.7","0.06666667"
"756","824"," 221.7","0.06666667"
"762","830"," 221.7","0.06666667"
"763","831"," 221.7","0.06666667"
"765","833"," 221.7","0.06666667"
"766","834"," 221.7","0.06666667"
"769","837"," 221.7","0.06666667"
"770","838"," 221.7","0.06666667"
"773","841"," 221.7","0.06666667"
"780","848"," 221.7","0.06666667"
"788","856"," 221.7","0.06666667"
"794","862"," 221.7","0.06666667"
"799","867"," 221.7","0.06666667"
"836","60-2"," 228.8","0.20000000"
"843","67-2"," 228.8","0.20000000"
"844","68-2"," 228.8","0.20000000"
"864","831"," 228.8","0.20000000"
"900","867"," 228.8","0.20000000"
"937","60-2"," 229.8","0.33333333"
"940","63-2"," 229.8","0.33333333"
"965","831"," 229.8","0.33333333"
"1052","817"," 231.0","0.11111111"
"1053","818"," 231.0","0.11111111"
"1065","830"," 231.0","0.11111111"
"1066","831"," 231.0","0.11111111"
"1072","837"," 231.0","0.11111111"
"1073","838"," 231.0","0.11111111"
"1091","856"," 231.0","0.11111111"
"1097","862"," 231.0","0.11111111"
"1104","869"," 231.0","0.11111111"
"1167","831"," 235.8","1.00000000"
"1213","31-2"," 242.9","0.07692308"
"1215","33-2"," 242.9","0.07692308"
"1217","36-2"," 242.9","0.07692308"
"1219","38-2"," 242.9","0.07692308"
"1221","40-2"," 242.9","0.07692308"
"1224","44-2"," 242.9","0.07692308"
"1227","47-2"," 242.9","0.07692308"
"1234","54-2"," 242.9","0.07692308"
"1235","55-2"," 242.9","0.07692308"
"1236","56-2"," 242.9","0.07692308"
"1237","57-2"," 242.9","0.07692308"
"1248","68-2"," 242.9","0.07692308"
"1250","70-2"," 242.9","0.07692308"
"1316","33-2"," 243.9","0.16666667"
"1318","36-2"," 243.9","0.16666667"
"1322","40-2"," 243.9","0.16666667"
"1325","44-2"," 243.9","0.16666667"
"1328","47-2"," 243.9","0.16666667"
"1338","57-2"," 243.9","0.16666667"
"1486","847"," 250.0","1.00000000"
"1557","817"," 250.9","0.07692308"
"1558","818"," 250.9","0.07692308"
"1562","822"," 250.9","0.07692308"
"1568","828"," 250.9","0.07692308"
"1569","829"," 250.9","0.07692308"
"1570","830"," 250.9","0.07692308"
"1571","831"," 250.9","0.07692308"
"1572","832"," 250.9","0.07692308"
"1596","856"," 250.9","0.07692308"
"1602","862"," 250.9","0.07692308"
"1605","865"," 250.9","0.07692308"
"1607","867"," 250.9","0.07692308"
"1615","875"," 250.9","0.07692308"
"1618","32-2"," 251.8","0.02941176"
"1619","33-2"," 251.8","0.02941176"
"1620","34-2"," 251.8","0.02941176"
"1621","36-2"," 251.8","0.02941176"
"1622","37-2"," 251.8","0.02941176"
"1626","42-2"," 251.8","0.02941176"
"1631","47-2"," 251.8","0.02941176"
"1633","49-2"," 251.8","0.02941176"
"1634","50-2"," 251.8","0.02941176"
"1635","51-2"," 251.8","0.02941176"
"1636","52-2"," 251.8","0.02941176"
"1639","55-2"," 251.8","0.02941176"
"1640","56-2"," 251.8","0.02941176"
"1641","57-2"," 251.8","0.02941176"
"1642","58-2"," 251.8","0.02941176"
"1643","59-2"," 251.8","0.02941176"
"1644","60-2"," 251.8","0.02941176"
"1647","63-2"," 251.8","0.02941176"
"1648","64-2"," 251.8","0.02941176"
"1649","65-2"," 251.8","0.02941176"
"1650","66-2"," 251.8","0.02941176"
"1651","67-2"," 251.8","0.02941176"
"1652","68-2"," 251.8","0.02941176"
"1653","69-2"," 251.8","0.02941176"
"1655","71-2"," 251.8","0.02941176"
"1656","72-2"," 251.8","0.02941176"
"1657","73-2"," 251.8","0.02941176"
"1659","818"," 251.8","0.02941176"
"1672","831"," 251.8","0.02941176"
"1678","837"," 251.8","0.02941176"
"1679","838"," 251.8","0.02941176"
"1680","839"," 251.8","0.02941176"
"1694","853"," 251.8","0.02941176"
"1704","863"," 251.8","0.02941176"
"1758","73-2"," 252.7","1.00000000"
"1837","51-2"," 253.7","0.11111111"
"1841","55-2"," 253.7","0.11111111"
"1846","60-2"," 253.7","0.11111111"
"1850","64-2"," 253.7","0.11111111"
"1853","67-2"," 253.7","0.11111111"
"1855","69-2"," 253.7","0.11111111"
"1857","71-2"," 253.7","0.11111111"
"1859","73-2"," 253.7","0.11111111"
"1874","831"," 253.7","0.11111111"
"1920","31-2"," 254.0","0.01639344"
"1922","33-2"," 254.0","0.01639344"
"1923","34-2"," 254.0","0.01639344"
"1924","36-2"," 254.0","0.01639344"
"1926","38-2"," 254.0","0.01639344"
"1927","39-2"," 254.0","0.01639344"
"1928","40-2"," 254.0","0.01639344"
"1930","43-2"," 254.0","0.01639344"
"1931","44-2"," 254.0","0.01639344"
"1933","46-2"," 254.0","0.01639344"
